worker,time,bytes_sent,bytes_received
17,2,427835576,390729824
17,3,495599048,480472520
17,4,580924664,545635416
17,5,655630440,615478248
17,6,735191144,712431768
17,7,809771112,789336168
17,8,883302504,861551568
17,9,942284904,936424048
17,10,1020010600,1015764056
17,11,1118314600,1080345752
17,12,1187389544,1172982368
17,13,1267343464,1238763712
17,14,1343627368,1322582168
17,15,1419255912,1383770632
17,16,1495277672,1431466304
17,17,1572348008,1512404272
17,18,1648894056,1574494512
17,19,1727275112,1694726352
17,20,1768824936,1784714336
17,21,1823350888,1861953096
17,22,1947213928,1935824264
17,23,2025857128,1982807520
17,24,2104369256,2046313296
17,25,2179866728,2102861072
17,26,2260213864,2155125976
17,27,2337808488,2233856160
17,28,2412126312,2336739912
17,29,2484740200,2431095072
17,30,2540576872,2557833816
4,1,139174808,197938872
4,2,238292776,320561808
4,3,324872024,404385560
4,4,446099944,474919088
4,5,537981416,530672880
4,6,612665888,595937136
4,7,693269904,691550024
4,8,761026384,786881008
4,9,812274864,858286232
4,10,930760192,934889776
4,11,992623920,1012477960
4,12,1078858768,1087630544
4,13,1151054376,1167133064
4,14,1236371720,1234431472
4,15,1314740744,1299459392
4,16,1390238216,1349463440
4,17,1466522120,1432692280
4,18,1540839944,1542297688
4,19,1582782984,1627385208
4,20,1693145608,1709404272
4,21,1770478088,1783710880
4,22,1843354120,1862360976
4,23,1903909384,1936684760
4,24,2002475528,1998121440
4,25,2082167304,2061156808
4,26,2155698696,2130898456
4,27,2226739720,2250940400
4,28,2280086024,2323347712
4,29,2367248904,2399341648
4,30,2457819656,2451206112
10,1,74103536,59562088
10,2,161906976,116400432
10,3,264367512,193877120
10,4,375945360,287653944
10,5,497952304,376361320
10,6,607785376,447480696
10,7,684590560,511947104
10,8,756018032,576416408
10,9,839770032,631786480
10,10,911720288,696781408
10,11,992320544,762608016
10,12,1067812000,818729600
10,13,1140425888,898386976
10,14,1221166240,1011344840
10,15,1298891936,1098135680
10,16,1375044768,1186605400
10,17,1454605472,1294425424
10,18,1529054368,1390167776
10,19,1610712224,1470928528
10,20,1687651488,1545073568
10,21,1767212192,1620434728
10,22,1839826080,1705238872
10,23,1910211744,1809166904
10,24,1985578144,1886734280
10,25,2074838176,1966111104
10,26,2142602400,2037561216
10,27,2230027424,2115886432
10,28,2301199520,2160537384
10,29,2381153440,2223674528
10,30,2458616992,2286736376
11,1,236771208,152428512
11,2,310273472,265325176
11,3,364044288,374281816
11,4,410549368,454477048
11,5,508979928,531386560
11,6,621195408,597219728
11,7,694808472,673048592
11,8,770304440,751842960
11,9,801366248,833350576
11,10,921949480,912449024
11,11,1008322920,973472088
11,12,1069304536,1068442064
11,13,1158254528,1135044272
11,14,1208717248,1223247744
11,15,1301254080,1297927872
11,16,1383305152,1360215040
11,17,1457491904,1441392816
11,18,1518571456,1529492032
11,19,1612419008,1590612112
11,20,1683722176,1676296064
11,21,1754632128,1761332760
11,22,1836552128,1818673560
11,23,1909952448,1913975056
11,24,1988857792,1991871664
11,25,2053738432,2064132656
11,26,2141163456,2120692984
11,27,2215481280,2168727032
11,28,2292158400,2231664352
11,29,2363854784,2362101064
11,30,2437386176,2453713520
13,1,79003072,70537968
13,2,180696144,132396528
13,3,315555800,221342824
13,4,457100024,306599616
13,5,533644568,353190464
13,6,609404184,440594640
13,7,687523096,535655840
13,8,764331288,640650320
13,9,842581272,755591112
13,10,919389464,857632664
13,11,1000260888,964874792
13,12,1073792280,1041383568
13,13,1152173336,1100965872
13,14,1231471896,1182709816
13,15,1307755800,1258710992
13,16,1378796824,1354050672
13,17,1457571096,1434534960
13,18,1536083224,1507370856
13,19,1612498200,1583347120
13,20,1688257816,1656927240
13,21,1763099928,1738204536
13,22,1845544216,1798060864
13,23,1919730968,1851361744
13,24,2001388824,1938013592
13,25,2075837720,2014024904
13,26,2150286616,2076847432
13,27,2230502680,2150879520
13,28,2301281560,2250539400
13,29,2374157592,2358909232
13,30,2459747608,2428731368
12,1,96678360,78067176
12,2,198959208,163962536
